事業所番号,サービス種類,法人名称,事業所名,郵便番号,事業所所在地,電話番号,FAX番号,行政区
2610306942,介護予防居宅療養管理指導,医療法人西大路病院,医療法人西大路病院,6048437,中京区西ノ京東中合町１２の１,821-2355,,中京区
2610307361,介護予防居宅療養管理指導,医療法人博友会,医療法人博友会まるいクリニック,6048165,中京区室町通三条下る烏帽子屋町４９３,253-1808,,中京区
2610306322,介護予防居宅療養管理指導,医療法人芙蓉会,医療法人芙蓉会　北辰堂佐藤医院,6048451,中京区西ノ京御輿岡町２１,463-5001,464-7390,中京区
2630302996,介護予防居宅療養管理指導,医療法人明貴会,医療法人明貴会三条山口歯科医院,6048031,中京区三条河原町下ル大黒町７１番地の２１ＣＴビーチビル３階,255-4649,,中京区
2610306470,介護予防居宅療養管理指導,医療法人毛利病院,医療法人毛利病院,6040054,中京区東堀川通御池上る押堀町４４－１,222-1361,222-1361,中京区
2610305753,介護予防居宅療養管理指導,医療法人野口整形外科医院,医療法人　野口整形外科医院,6048333,中京区西堀川通三条下ル下八文字町６９８,811-6930,,中京区
2630302889,介護予防居宅療養管理指導,医療法人洛生会田中歯科医院,医療法人洛生会田中歯科医院壬生診療所,6048832,中京区壬生下溝町８番地の７,311-1315,,中京区
2640301335,介護予防居宅療養管理指導,株式会社ココカラファインヘルスケア,ココカラファイン薬局　壬生店,6048846,中京区壬生西檜町８アソルティ西院1階,325-5296,325-5296,中京区
2640301400,介護予防居宅療養管理指導,株式会社ファーマシィ,ファーマシィ薬局五条御前,6048845,中京区壬生東高田町４４の１,323-6378,,中京区
2640301293,介護予防居宅療養管理指導,株式会社ペガサスメディカル,ペガサス京都薬局,6040841,中京区車屋町通二条下ル仁王門突抜町３１８,254-6123,,中京区
2640300881,介護予防居宅療養管理指導,株式会社宮秋養元堂薬局,株式会社宮秋養元堂薬局,6048031,中京区河原町通三条下ル２丁目山崎町２５２,221-0356,221-0357,中京区
2640300824,介護予防居宅療養管理指導,株式会社平安堂薬局,平安堂薬局,6048036,中京区三条通河原町西入石橋町１４,221-0932,,中京区
2640301327,介護予防居宅療養管理指導,山田薬品株式会社,山田薬品株式会社山田薬局,6048851,中京区壬生上大竹町１９,802-3156,,中京区
2610307239,介護予防居宅療養管理指導,森島医院,森島医院,6048414,中京区西ノ京小倉町４番地,811-4073,,中京区
2640301202,介護予防居宅療養管理指導,有限会社みくら薬局,有限会社みくら薬局,6048166,中京区三条通室町東入御倉町６３,255-3693,,中京区
2640301269,介護予防居宅療養管理指導,有限会社みだい,P・D・Pメディカル丸太町薬局,6048491,中京区西ノ京左馬寮町１ー１４グローバルスクエアビル,812-0861,812-0862,中京区
2640301210,介護予防居宅療養管理指導,有限会社メデイカルアンズ,あんず薬局,6048401,中京区聚楽廻松下町１番の９,822-6330,,中京区
2640301194,介護予防居宅療養管理指導,有限会社上野薬局,有限会社上野薬局,6048115,中京区蛸薬師通堺町西入ル雁金町３７４,212-0341,,中京区
2640301004,介護予防居宅療養管理指導,有限会社白数薬局京都店,白数薬局京都店,6048467,中京区西ノ京大炊御門町８－４,461-1473,,中京区
2610307585,介護予防居宅療養管理指導,,金井塚医院,6048461,中京区西ノ京中保町１８,463-8888,,中京区
2610307270,介護予防居宅療養管理指導,,正木医院,6048463,中京区西ノ京円町４１－５,841-7020,,中京区
2610306967,介護予防居宅療養管理指導,,にしかわ内科医院,6048824,中京区壬生高樋町４５,841-0028,,中京区
2610306736,介護予防居宅療養管理指導,,青木クリニック,6048147,中京区六角通東洞院東入　ロイヤルプラザビル１Ｆ,257-4711,,中京区
2610306496,介護予防居宅療養管理指導,,小笠原医院,6040941,中京区御幸町通押小路下る亀屋町３９４番地,221-5460,,中京区
2610306488,介護予防居宅療養管理指導,,木村内科医院,6048421,中京区西ノ京永本町２２ー１１,803-0504,803-0504,中京区
2610306207,介護予防居宅療養管理指導,,やすはら整形外科,6048417,中京区西ノ京内畑町２５－１５,821-7277,,中京区
2610306157,介護予防居宅療養管理指導,,内藤医院,6040823,中京区衣棚通り竹屋町下ル花立町２５６,241-2727,,中京区
2610305365,介護予防居宅療養管理指導,,野見山医院,6048421,中京区西ノ京永本町２,812-0290,,中京区
2610304830,介護予防居宅療養管理指導,,浜中医院,6048335,中京区黒門通三条下ル下一文字町３１８,841-4458,,中京区
2610304079,介護予防居宅療養管理指導,,安野医院,6048036,中京区寺町通り三条下ル永楽町２３４,241-1430,,中京区
2630302285,介護予防居宅療養管理指導,,木村歯科医院,6048402,中京区聚楽廻西町１１９,841-9525,,中京区
2630302418,介護予防居宅療養管理指導,,太田歯科・矯正歯科,6040842,中京区押小路通烏丸東入ル西押小路町107,222-0418,222-0418,中京区
2630302442,介護予防居宅療養管理指導,,遠藤歯科医院,6048151,中京区蛸薬師通烏丸西入橋弁慶町２２８　アオイビル３階,251-1166,,中京区
2630302483,介護予防居宅療養管理指導,,柳楽歯科医院,6048032,中京区河原町通六角東入山崎町２５８－３１,221-6944,,中京区
2630302517,介護予防居宅療養管理指導,,おいけ稲川歯科医院,6040943,中京区御池通麸屋町東上白山町２６４稲川ビル３Ｆ,252-3158,,中京区
2630302640,介護予防居宅療養管理指導,,くりた歯科医院,6048221,中京区錦小路通室町西入ル２８２アウスハイレン栗田１Ｆ,221-2979,,中京区
2630302731,介護予防居宅療養管理指導,,出口歯科医院,6048333,中京区西堀川通り三条下ル６９０,841-5605,,中京区
2630302830,介護予防居宅療養管理指導,,かおり歯科医院,6048483,中京区西ノ京南上合町２８ヴェルデ春日１０１,822-5171,,中京区
2630302921,介護予防居宅療養管理指導,,上松歯科医院,6040044,中京区下古城町３９８ロイヤルプラザ御池１Ｆ,221-6011,221-6011,中京区
2630302988,介護予防居宅療養管理指導,,のうか歯科医院,6048123,中京区堺町通錦小路下ル八百屋町５５３番地,221-0509,,中京区
2630303093,介護予防居宅療養管理指導,,しもむら歯科医院,6048161,中京区烏丸通六角上る饅頭屋町６１７,222-6963,222-6964,中京区
2630303101,介護予防居宅療養管理指導,,竹内歯科診療所,6048086,中京区御幸町通三条上る丸屋町３１７,221-5617,,中京区
2630303176,介護予防居宅療養管理指導,,河野歯科医院,6048854,中京区壬生仙念町２２,841-2358,,中京区
2630303267,介護予防居宅療養管理指導,,たきおか歯科クリニック,6048845,中京区壬生東高田町３０,322-0418,,中京区
2630303333,介護予防居宅療養管理指導,,アリスデンタルクリニック,6048804,中京区壬生坊城町２０スティンクビル２・３Ｆ,802-2823,,中京区
2630303259,介護予防居宅療養管理指導,,うえむら歯科医院,6040983,中京区麩屋町通夷川上る笹屋町４６７,,,中京区
2630303168,介護予防居宅療養管理指導,,菅原歯科医院,6048242,中京区西洞院通六角上る柳水町９３,221-3926,,中京区
2630302947,介護予防居宅療養管理指導,,たけざわ歯科医院,6048454,中京区西ノ京小堀池町１番地サンロード・朱雀１Ｆ,813-3215,,中京区
2630302764,介護予防居宅療養管理指導,,中村歯科医院,6048124,中京区高倉通四条上ル帯屋町５７４高倉ビル２Ｆ,211-4611,,中京区
2630302616,介護予防居宅療養管理指導,,渡辺歯科医院,6048344,中京区大宮通六角下ル六角大宮町２３４,811-2561,,中京区
2630302558,介護予防居宅療養管理指導,,はやせ歯科医院,6040082,中京区西洞院通竹屋町下ル毘沙門町４０８,231-8717,,中京区
2630302335,介護予防居宅療養管理指導,,森澤歯科医院,6048111,中京区三条通高倉東入桝屋町６４,231-0383,,中京区
2630301402,介護予防居宅療養管理指導,,河野歯科医院,6048854,中京区壬生仙念町２２,841-2358,,中京区
2610301125,介護予防居宅療養管理指導,,中西医院,6048426,中京区御前通御池上ル（(西ノ京船塚町１１）,841-9661,,中京区
2610304236,介護予防居宅療養管理指導,,古玉医院,6048354,中京区高倉通二条下ル瓦町５５０,221-5453,,中京区
2610304731,介護予防居宅療養管理指導,,坂中医院,6048336,中京区大宮通三条下ル三条大宮町２４４－４,841-0210,,中京区
2610305175,介護予防居宅療養管理指導,,横田診療所,6048462,中京区西ノ京北円町５,463-7454,,中京区
2610305274,介護予防居宅療養管理指導,,わたなべ整形外科医院,6040005,中京区衣棚通丸太町下ル玉植町２３７,221-8150,,中京区
2610306595,介護予防居宅療養管理指導,,山本内科小児科医院,6048371,中京区神泉苑町通御池下ル神泉苑町１,841-0834,,中京区
2610307015,介護予防居宅療養管理指導,,吉田医院,6040906,中京区新烏丸通御霊図子下る東椹木町１１３,231-0678,,中京区
2610307189,介護予防居宅療養管理指導,,玉垣内科医院,6048053,中京区麩屋町通四条上る桝屋町５１１,253-5560,,中京区
2610307601,介護予防居宅療養管理指導,,川口医院,6048812,中京区壬生相合町１,841-2051,,中京区
2640300931,介護予防居宅療養管理指導,,寿屋中島薬局,6048375,中京区西ノ京池ノ内町４,841-4155,,中京区
2640301558,介護予防居宅療養管理指導,有限会社みくら薬局,みくら薬局烏丸御池店,6040845,中京区烏丸通御池上る二条殿町５４６ＮＴ都ビル１０１号室,221-0275,221-0276,中京区
2610307841,介護予防居宅療養管理指導,,中西医院,6048426,中京区西ノ京船塚町１１番地,841-9661,841-9661,中京区
2630303457,介護予防居宅療養管理指導,,近藤歯科医院,6048804,中京区壬生坊城町６６－２,841-1380,841-3813,中京区
2640301657,介護予防居宅療養管理指導,,翔薬局御所南店,6040933,中京区御幸町通二条下ル山本町４３７－３　坂部御幸町ビル１Ｆ,254-7676,254-7675,中京区
2640301673,介護予防居宅療養管理指導,株式会社チカタ薬局,チカタ薬局,6948331,中京区三条通大宮東入ル御供町２７９,841-2048,841-2057,中京区
2640301681,介護予防居宅療養管理指導,株式会社スギ薬局,スギ薬局　四条大宮店,6048811,中京区壬生賀陽御所町３番地３ドルミ四条大宮１階,813-8320,812-6791,中京区
2640301699,介護予防居宅療養管理指導,株式会社スギ薬局,スギ薬局　円町店,6048463,中京区西ノ京円町２９－３,813-7689,842-0520,中京区
2630303598,介護予防居宅療養管理指導,,たかぎ歯科,6048472,中京区西ノ京北壺井町４７グラシィアス円町１階,432-7650,432-7650,中京区
2610308138,介護予防居宅療養管理指導,,たはた診療所,6048117,中京区六角通堺町西入堀之上町１１９岡松ビル３F,213-0567,213-0568,中京区
2630303614,介護予防居宅療養管理指導,医療法人金平会,医療法人金平会　三条河原町デンタルクリニック,6048006,中京区河原町通二条下る二丁目下丸屋町４０７－２ルート河原町ビル３Ｆ,241-0817,241-0816,中京区
2640301756,介護予防居宅療養管理指導,株式会社ミルキーファーマシー,クルミ薬局,6048425,中京区西ノ京銅駝町７５番地1の２,822-6650,822-6651,中京区
2640301764,介護予防居宅療養管理指導,,翔薬局おいけ店,6040943,中京区麩屋町通御池上ル上白山町２６４－１岩佐ビル１Ｆ,256-8016,256-8017,中京区
2640301772,介護予防居宅療養管理指導,,翔薬局御幸町店,6040962,中京区御幸町通夷川下ル達磨町５９０小池ビル１Ｆ,253-1950,253-1960,中京区
2630303648,介護予防居宅療養管理指導,,烏丸おいけ歯科クリニック,6048187,中京区東洞院通御池下る笹屋町４３６－２シカダディスビルディング２F,708-8674,708-8674,中京区
2610308203,介護予防居宅療養管理指導,,松野医院,6048493,中京区西ノ京南両町３３番地１０,811-7715,811-7725,中京区
2640301798,介護予防居宅療養管理指導,,中島薬局東店,6048832,中京区壬生下溝町５７－４７,313-9070,313-9070,中京区
2640301814,介護予防居宅療養管理指導,たんぽぽ薬局株式会社,たんぽぽ薬局五条御前店,6048381,中京区壬生東高田町４５番地６,326-2771,316-1322,中京区
2630303663,介護予防居宅療養管理指導,,もりや歯科医院,6048365,中京区大宮西入錦大宮町１１６番地プラネシア阪急大宮ビルサウス２Ｆ－Ａ,813-3388,813-3389,中京区
2640301822,介護予防居宅療養管理指導,株式会社スギ薬局,スギ薬局寺町店,6048071,中京区寺町通三条下る永楽町234番地SKビル1階,254-7118,231-7581,中京区
2640301830,介護予防居宅療養管理指導,株式会社ファルコファーマシーズ,ファルコ薬局　烏丸御池店,6040825,中京区御池通柳馬場西入御所八幡町23番地SHICATA QUATORZE BLDG １階,741-6181,741-6182,中京区
2610308302,介護予防居宅療養管理指導,,はやし神経内科,6040825,中京区御所八幡町２３１シカタカトルズビルディング４階,254-8841,254-8840,中京区
2640301848,介護予防居宅療養管理指導,有限会社メディカルブレーン,わに薬局　河原町店,6040904,中京区椹木町通竹屋町上る西革堂町１８４オクムラビル１F,741-6011,741-6010,中京区
2610308328,介護予防居宅療養管理指導,,いちおか泌尿器科クリニック,6040837,中京区東洞院通二条下る瓦之町３９１番地京都メディカルガーデンシンフォニア御池１F,231-7227,231-7228,中京区
2610308369,介護予防居宅療養管理指導,医療法人温心会おがわ内科呼吸器内科医院,医療法人温心会おがわ内科呼吸器内科医院,6048425,中京区西ノ京銅駝町75番地1,432-8448,432-8450,中京区
2630303754,介護予防居宅療養管理指導,,米沢歯科医院,6048455,中京区西ノ京藤ノ木町1-22,811-0456,811-0456,中京区
2630303770,介護予防居宅療養管理指導,,中村歯科医院,6048206,中京区新町通三条上ル町頭町112菊三ビル1階,211-7080,211-7080,中京区
2640301863,介護予防居宅療養管理指導,,まるや薬局,6048132,中京区高倉通り三条下る丸屋町166番地2,744-0072,744-0073,中京区
2640301871,介護予防居宅療養管理指導,株式会社ファルコファーマシーズ,ファルコ薬局　四条烏丸店,6048152,中京区烏丸通蛸薬師下る手洗水町652番地親友会烏丸ビル1F,708-7712,708-7713,中京区
2630303796,介護予防居宅療養管理指導,,リモデンタルクリニック,6048143,中京区東洞院通り四条上ル阪東屋町667-1プラスパー河野ビル4階,221-6706,221-6706,中京区
2640301889,介護予防居宅療養管理指導,株式会社スギ薬局,スギ薬局二条店,6048383,中京区西ノ京小堀町1番地4,813-1371,802-2310,中京区
2610308450,介護予防居宅療養管理指導,医療法人医音会,医療法人医音会友愛診療所,6048264,中京区姉西堀川町511,813-3135,813-3137,中京区
2610308443,介護予防居宅療養管理指導,,泌尿器科　上田クリニック,6048172,中京区場之町599CUBEOIKE 6F,257-8124,257-8224,中京区
2640301913,介護予防居宅療養管理指導,一般社団法人京都コムファ,コスモス薬局,6048454,中京区西ノ京小堀池町18番7,821-8080,821-8070,中京区
2610308492,介護予防居宅療養管理指導,医療法人光樹会,医療法人光樹会 たかぎクリニック,6040981,中京区御幸町通竹屋町上る毘沙門町557-2ACT-Kビル3F,254-3077,254-3078,中京区
2610308484,介護予防居宅療養管理指導,医療法人社団御幸町診療所,岩瀬医院,6048091,中京区寺町通御池下る下本能寺前町515ギャラリーカトビル302,221-8001,221-8002,中京区
2610308500,介護予防居宅療養管理指導,医療法人財団康生会,医療法人財団　康生会柳馬場武田クリニック,6048113,中京区柳馬場通六角下る井筒屋町407シティーハウス407　1F,213-2216,213-2217,中京区
2630303846,介護予防居宅療養管理指導,医療法人社団翔志会,医療法人社団翔志会たけち歯科クリニック,6048861,中京区壬生神明町1-39articles 1F,842-2222,366-6612,中京区
2640301988,介護予防居宅療養管理指導,株式会社保生堂,保生堂薬局,6040091,中京区梅屋町177,231-3397,231-2239,中京区
2640301954,介護予防居宅療養管理指導,株式会社ファルコファーマシーズ,ファルコ薬局　新町六角店,6048217,中京区六角通新町西入西六角町112,746-3021,746-3022,中京区
2640301467,介護予防居宅療養管理指導,株式会社アピオス,ダイガク薬局むろまち,6048156,中京区山伏山町539第三下田ビル１階,256-8868,256-8867,中京区
2610308625,介護予防居宅療養管理指導,医療法人社団洛和会,医療法人社団洛和会　洛和会丸太町病院,6048401,中京区聚楽廻松下町9-7,803-6251,822-9427,中京区
2640302044,介護予防居宅療養管理指導,有限会社メディカルアンズ,あんず薬局,6048402,中京区聚楽廻西町181-5サンマンション1階,822-6330,822-6331,中京区
2640302085,介護予防居宅療養管理指導,株式会社プチファーマシスト,オレンジ薬局　聚楽店,6048411,中京区聚楽廻南町30-13,813-5790,813-5791,中京区
2630303911,介護予防居宅療養管理指導,,岩崎歯科医院,6048336,中京区三条大宮町247,841-0201,841-0209,中京区
2610308781,介護予防居宅療養管理指導,医療法人ゆうクリニック,医療法人ゆうクリニック,6048433,中京区西ノ京北小路町17-2,822-1666,822-1676,中京区
2630303390,介護予防居宅療養管理指導,,きたはら歯科,6048381,中京区西ノ京職司町26,822-2020,822-2016,中京区
2640302127,介護予防居宅療養管理指導,株式会社いしくら,まるや薬局,6048132,中京区高倉通三条下る丸屋町166-2,744-0072,744-0073,中京区
2630303952,介護予防居宅療養管理指導,医療法人福地歯科医院,医療法人福地歯科医院,6040825,中京区御池通柳馬場西入御所八幡町231番地シカタカトルズビルディング2階,253-3159,253-3159,中京区
2630303994,介護予防居宅療養管理指導,,あきデンタルクリニック,6048414,中京区西ノ京小倉町138番地シャルール・デュ・ボワ二条１F,841-8188,841-8189,中京区
2640302150,介護予防居宅療養管理指導,株式会社T・Hメディック,スカイ薬局　円町店,6048466,中京区西ノ京南大炊御門町8阪急オアシス2F,462-0734,462-0735,中京区
2640302176,介護予防居宅療養管理指導,株式会社アイセイ薬局,アイセイ薬局　烏丸御池店,6040837,中京区東洞院通り二条下る瓦之町387番地の4シンフォニア御池１F,231-1166,231-1167,中京区
2630304000,介護予防居宅療養管理指導,,片川歯科医院,6048847,中京区壬生西土居ノ内町16番地,950-0488,950-0488,中京区
2630304018,介護予防居宅療養管理指導,,おおうち歯科クリニック,6040076,中京区東掘川通り竹屋町上る七町目13番地,252-2860,,中京区
2610308823,介護予防居宅療養管理指導,医療法人鳥居内科,医療法人鳥居内科,6040837,中京区東洞院通二条下る瓦之町391番地京都メディカルガーデンシンフォニア御池4階,231-3055,231-3066,中京区
2640302192,介護予防居宅療養管理指導,株式会社スギ薬局,スギ薬局　四条河原町店,6048027,中京区河原町通蛸薬師下る塩屋町343番地の1,708-7441,708-7448,中京区
2610307411,介護予防居宅療養管理指導,公益社団法人京都保健会,京都民医連太子道診療所,6048454,中京区西ノ京小堀池町18番地の1,822-2660,822-2885,中京区
2640302218,介護予防居宅療養管理指導,株式会社メタルファーマシー,金太郎薬局丸太町店,6040881,中京区高倉通竹屋町上る坂本町686番地の2マルタカビル1F,231-3161,231-3162,中京区
2640302200,介護予防居宅療養管理指導,株式会社アインファーマシーズ,アイン薬局西大路五条店,6048845,中京区壬生東高田町2番地2プェネリジェール西五条Ⅱ101,312-8257,312-8231,中京区
2640302234,介護予防居宅療養管理指導,株式会社ミルキーファーマシー,調剤薬局かりん,6048412,中京区西ノ京南聖町13番地2階,406-5285,406-5286,中京区
2630304026,介護予防居宅療養管理指導,,なかお七本松歯科クリニック,6048375,中京区西ノ京池ノ内町16番地の41京都友禅館ビル2F,801-9822,801-9936,中京区
2640302275,介護予防居宅療養管理指導,株式会社ココカラファインヘルスケア,オーツカ市立病院前薬局,6048845,中京区壬生東高田町62番地,323-5355,321-5081,中京区
2640302283,介護予防居宅療養管理指導,株式会社マーメイド,クルミ薬局２号店,6048426,中京区西ノ京船塚町10番地の1Tenkyuビル2階,813-5001,813-5002,中京区
2630304042,介護予防居宅療養管理指導,医療法人社団大栄会,医療法人社団　大栄会　西大路御池デンタルクリニック,6048437,中京区西ノ京東中合町46番地フィル・パーク京都西大路駅前1階,432-7593,432-7594,中京区
2630304059,介護予防居宅療養管理指導,医療法人晴雄会,医療法人晴雄会　加納デンタルクリニック,6040835,中京区御池通間之町東ル高宮町206号御池ビル7階,222-1207,256-3246,中京区
2610309045,介護予防居宅療養管理指導,医療法人七生会辻医院,医療法人七生会辻医院,6048143,中京区東洞院錦小路下る阪東屋町657番地の4,252-6739,252-6745,中京区
2640302333,介護予防居宅療養管理指導,株式会社ユーピーディー,西大路御池ゆう薬局,6048437,中京区西ノ京東中合町11番地,803-3981,803-3982,中京区
2640302374,介護予防居宅療養管理指導,株式会社ユーピーディー,ろっかくゆう薬局,6048147,中京区東洞院六角通下る御射山町260番地ロイヤルプラザビル1階,254-5285,254-5286,中京区
2640302366,介護予防居宅療養管理指導,株式会社ユーピーディー,烏丸御池ゆう薬局,6048172,中京区烏丸通姉小路下る場之町599番地ＣＵＢＥ　ＯＩＫＥ７階西号室,254-8282,254-8283,中京区
2640302317,介護予防居宅療養管理指導,株式会社ユーピーディー,御所南ゆう薬局,6040904,中京区新椹木町通竹屋町上る西革堂町184番地オクムラビル1Ｆ,741-6011,741-6010,中京区
2640302325,介護予防居宅療養管理指導,株式会社ユーピーディー,千本丸太町ゆう薬局,6048402,中京区聚楽廻西町182-8,803-0036,803-0037,中京区
2640302358,介護予防居宅療養管理指導,株式会社ユーピーディー,太子道ゆう薬局,6048483,中京区西ノ京南上合町72番地,813-0061,813-0062,中京区
2630302137,介護予防居宅療養管理指導,,小林歯科医院,6048004,中京区三条通河原町東入中島町86鶴ノ井ビル４F,255-1177,255-6563,中京区
2640302390,介護予防居宅療養管理指導,株式会社ユタカファーマシー,あい薬局,6048472,中京区西ノ京北壺井町68サーティフル新二条１階,813-5881,813-5410,中京区
2640302408,介護予防居宅療養管理指導,株式会社ユーピーディー,初音ゆう薬局,6048104,中京区姉小路通柳馬西入木之下町274番地10サンハイム御池１階,606-5497,606-5499,中京区
2640302416,介護予防居宅療養管理指導,株式会社J.みらいメディカル,きららみらい薬局,6040884,中京区竹屋町通東洞院東入塀之内町630番地御所南みらいメディカルビル１階,253-6735,253-6736,中京区
2630304075,介護予防居宅療養管理指導,医療法人麒愛会,医療法人麒愛会　たかはし歯科医院,6048463,中京区西ノ京円町4番地の2,463-3119,,中京区
2640302432,介護予防居宅療養管理指導,日本調剤株式会社,日本調剤円町薬局,6048457,中京区西ノ京馬代町16番地の12セントポーリア丸太町1階,366-8241,366-8251,中京区
2640302457,介護予防居宅療養管理指導,株式会社アインファーマシーズ,アイン薬局御所南店,6040814,中京区東洞院通二条上ル壺屋町516安倍ビル1F,256-8511,256-8522,中京区
2640302465,介護予防居宅療養管理指導,株式会社マーメイド,あおば調剤薬局,6040865,中京区竹屋町通室町東入亀屋町145番地AMARE1階,254-8362,254-8363,中京区
2640302440,介護予防居宅療養管理指導,シミズ薬品株式会社,薬局ダックス京都二条店,6048416,中京区西ノ京星池町221番地,468-1222,468-1258,中京区
2640302473,介護予防居宅療養管理指導,有限会社わかくさ薬局,わかくさ薬局二条店,6048375,中京区西ノ京池ノ内町20番地の110京都メディカルビル1階,823-6330,823-6340,中京区
2640302507,介護予防居宅療養管理指導,I＆H株式会社,阪神調剤薬局　二条店,6048415,中京区西ノ京栂尾町３番地　ＪＲ二条駅ＮＫビル１階,803-2961,803-2962,中京区
2640302515,介護予防居宅療養管理指導,I＆H株式会社,阪神調剤薬局　丸太町店,6048402,中京区聚楽廻西町182番地4,803-6245,803-6246,中京区
2630303812,介護予防居宅療養管理指導,医療法人緑和会,医療法人緑和会　四条烏丸グリーン歯科,6048152,中京区烏丸通錦小路上る手洗水町670京都フクトクビル2階,253-6685,253-6686,中京区
2640302531,介護予防居宅療養管理指導,株式会社エイセイ・コーポレーション,まつなし薬局　壬生店,6048844,中京区壬生桧町13番地11,326-3395,326-3396,中京区
2640302523,介護予防居宅療養管理指導,株式会社キリン堂,キリン堂薬局　西ノ京御前店,6048481,中京区西ノ京冷泉町15番地,803-2201,803-2202,中京区
2630304133,介護予防居宅療養管理指導,御前安井歯科医院,御前安井歯科医院,6048491,中京区西ノ京左馬寮町29-6,841-5901,801-3078,中京区
2610309326,介護予防居宅療養管理指導,,岡田内科医院,6048362,中京区岩上通四条上る松浦町870,841-2211,841-2212,中京区
2640302549,介護予防居宅療養管理指導,株式会社スギ薬局,スギ薬局　千本三条店,6048412,中京区西ノ京南聖町18番地20　北興商事ビル　1階,406-1126,406-1127,中京区
2640302564,介護予防居宅療養管理指導,シマタニ株式会社,スマイル薬局二条店,6048381,中京区西ノ京職司町2番地3　IMPACT　IKU　1階,821-7275,821-7276,中京区
2640302556,介護予防居宅療養管理指導,シマタニ株式会社,スマイル薬局池須店,6048216,中京区西洞院通六角下る池須町408番地3　1階,741-8769,741-8792,中京区
2640302580,介護予防居宅療養管理指導,株式会社京都トラストメディカ,あおい薬局千本丸太町店,6048404,中京区聚楽廻東町15番地の1グランドムール聚楽１階,823-6550,823-6555,中京区
2640302598,介護予防居宅療養管理指導,中部薬品株式会社,V・drug　立病院前薬局,6048845,中京区壬生東高田町61番地　フジビル１階,311-1189,322-1189,中京区
2630304174,介護予防居宅療養管理指導,医療法人健盛会西ノ京ふなき歯科クリニック,医療法人健盛会西ノ京ふなき歯科クリニック,6048452,中京区西ノ京伯楽町22-1 1階,467-1180,467-1170,中京区
2640302184,介護予防居宅療養管理指導,シミズ薬品株式会社,薬局ダックス京都御池店,6048207,中京区御池通り新町角神明町68,708-3070,708-3224,中京区
2610309474,介護予防居宅療養管理指導,医療法人みのり会,医療法人みのり会　おかやま在宅クリニック,6040862,中京区烏丸通夷川上る少将井町245-1藤和シティスクエア烏丸丸太町201号,252-5115,252-5110,中京区
2640302648,介護予防居宅療養管理指導,株式会社ココカラファインヘルスケア,ココカラファイン薬局東洞院店,6048143,中京区阪東屋町666番地0-2,746-3713,746-3714,中京区
2640302655,介護予防居宅療養管理指導,株式会社ファルコファーマシーズ,ファルコ薬局　二条駅東口店,6048381,中京区西ノ京職司町72番地ウエストフィールド１階,366-8801,366-8802,中京区
2630304232,介護予防居宅療養管理指導,医療法人山本歯科口腔外科医院,医療法人山本歯科口腔外科医院,6048035,中京区新京極通六角下る東入桜之町446,231-1159,231-1159,中京区
2640302663,介護予防居宅療養管理指導,株式会社スギ薬局,スギ薬局　四条烏丸店,6048152,中京区烏丸通錦小路上る手洗水町670番地京都フクトクビル１階,585-4866,585-4867,中京区
2640302622,介護予防居宅療養管理指導,株式会社はれの木,はれの木薬局,6048264,中京区姉西堀川町511番地堀川三条クリニックプラス１階東,822-7280,822-7281,中京区
2640302705,介護予防居宅療養管理指導,株式会社Ookini,おおきに薬局　御所南店,6040802,中京区堺町通竹屋町上る橘町82番地２　TKHビルディング１F,241-9727,241-9728,中京区
2640302713,介護予防居宅療養管理指導,サンハルク株式会社,薬局はなファーマシー烏丸丸太町,6040867,中京区丸太町通烏丸西入常真横町196番地深井ビル１階,257-8011,257-8012,中京区
2640302697,介護予防居宅療養管理指導,株式会社ゆうホールディングス,二条西洞院ゆう薬局,6040041,中京区押小路通西洞院西入二条西洞院町630番地４　1階,256-3010,256-3011,中京区
2610309599,介護予防居宅療養管理指導,,いぬいクリニック,6040041,中京区西洞院通二条下る二条西洞院町636番地2,255-1212,255-1213,中京区
2630304240,介護予防居宅療養管理指導,医療法人インターメディカル,医療法人インターメディカル　なかい歯科,6040916,中京区寺町通二条上る西側要法寺前町724番地1,252-1020,252-1021,中京区
2640302614,介護予防居宅療養管理指導,株式会社レークファーマシー,壬生こと薬局,6048862,中京区壬生森町56番地19,366-6730,366-6830,中京区
2640302739,介護予防居宅療養管理指導,株式会社スギ薬局,スギ薬局　役所前調剤店,6048006,中京区河原町通二条下る二丁目下丸屋町404番地2タケウチビル1階,744-6795,241-9110,中京区
2630304265,介護予防居宅療養管理指導,,堺町御門デンタルクリニック,6040802,中京区堺町通竹屋町上る橘町82-2 T・K・HENTビル２階,746-3880,746-3880,中京区
2630304257,介護予防居宅療養管理指導,医療法人社団翔志会,医療法人社団翔志会　たけち歯科クリニック円町,6048481,中京区西ノ京冷泉町1番地,842-2200,842-4000,中京区
2610309623,介護予防居宅療養管理指導,医療法人知音会,医療法人知音会　京都新町病院,6048217,中京区六角通新町西入西六角町109番地,241-7170,252-2542,中京区
2630303705,介護予防居宅療養管理指導,,愛歯科医院,6048152,中京区烏丸通蛸薬師下ル手洗水町６５０番四条烏丸スタービル２階,222-8211,222-8213,中京区
2640302762,介護予防居宅療養管理指導,株式会社ＦＬＹＯＶＥＲ,こころ薬局　三条店,6048111,中京区三条通高倉東入桝屋町57番地京都三条ビル2階,746-3871,,中京区
